input,output
"I listen to music",🎵
"She plays a melody",🎵
"They hear a song",🎵
"We enjoy the tune",🎵
"The note sounds clear",🎵
"He sees a swan",🦢
"The bird is graceful",🦢
"You watch the swan",🦢
"It floats on water",🦢
"We admire the swan",🦢
"I drink red wine",🍷
"She holds a glass",🍷
"They taste the wine",🍷
"The drink is rich",🍷
"You pour some wine",🍷
"I feel very happy",😄
"He looks so joyful",😄
"She smiles at us",😄
"They are grinning",😄
"We feel great joy",😄
"I eat a peach",🍑
"The fruit is sweet",🍑
"She picks a peach",🍑
"It tastes juicy",🍑
"You like the peach",🍑
"He wears a shoe",👞
"The leather is brown",👞
"I tie my shoe",👞
"They buy new shoes",👞
"It fits the foot",👞
"I feel upside down",🙃
"She acts very silly",🙃
"They look goofy",🙃
"He is being funny",🙃
"The face is flipped",🙃
"I see a pin",📍
"It marks the spot",📍
"She uses a tack",📍
"We found the place",📍
"He drops the pin",📍
"I wear a hearing aid",🦻
"She can hear well",🦻
"He listens carefully",🦻
"They test their ear",🦻
"We help him hear",🦻
"I flex my arm",💪
"He is very strong",💪
"She shows her muscle",💪
"They work out hard",💪
"We feel powerful",💪
"I see a shark",🦈
"The fish is big",🦈
"He fears the shark",🦈
"She swims away fast",🦈
"It has sharp teeth",🦈
"He is an old man",🧓
"She helps the senior",🧓
"They respect age",🧓
"I see an elder",🧓
"We care for him",🧓
"I see a bison",🦬
"The animal is huge",🦬
"She watches the buffalo",🦬
"They roam the field",🦬
"He likes the bison",🦬
"I remain silent",😶
"She has no words",😶
"He keeps quiet",😶
"They are speechless",😶
"We say nothing",😶
"I hear a cricket",🦗
"The bug jumps high",🦗
"She sees the insect",🦗
"It makes a sound",🦗
"We catch a cricket",🦗
"I blow a kiss",😘
"She shows affection",😘
"He loves you",😘
"They send a kiss",😘
"We feel loved",😘
"I use a broom",🧹
"She sweeps the floor",🧹
"He cleans the room",🧹
"They hold the handle",🧹
"We sweep up dust",🧹
"I cook an egg",🍳
"She fries breakfast",🍳
"He uses the pan",🍳
"The food smells good",🍳
"We eat cooked eggs",🍳
"I see number zero",0️⃣
"She has zero items",0️⃣
"He found nothing",0️⃣
"The digit is zero",0️⃣
"We count to zero",0️⃣
"I see number one",1️⃣
"She picks the first",1️⃣
"He has one item",1️⃣
"The digit is one",1️⃣
"We act as one",1️⃣
"I see number two",2️⃣
"She has two items",2️⃣
"He wants the second",2️⃣
"The digit is two",2️⃣
"We are a pair",2️⃣
"I see number three",3️⃣
"She has three items",3️⃣
"He picks the third",3️⃣
"The digit is three",3️⃣
"We count to three",3️⃣
"I see number four",4️⃣
"She has four items",4️⃣
"He picks the fourth",4️⃣
"The digit is four",4️⃣
"We count to four",4️⃣
"I see number five",5️⃣
"She has five items",5️⃣
"He picks the fifth",5️⃣
"The digit is five",5️⃣
"We count to five",5️⃣
"I see number six",6️⃣
"She has six items",6️⃣
"He picks the sixth",6️⃣
"The digit is six",6️⃣
"We count to six",6️⃣
"I see number seven",7️⃣
"She has seven items",7️⃣
"He picks the seventh",7️⃣
"The digit is seven",7️⃣
"We count to seven",7️⃣
"I see number eight",8️⃣
"She has eight items",8️⃣
"He picks the eighth",8️⃣
"The digit is eight",8️⃣
"We count to eight",8️⃣
"I see number nine",9️⃣
"She has nine items",9️⃣
"He picks the ninth",9️⃣
"The digit is nine",9️⃣
"We count to nine",9️⃣
"I see number ten",🔟
"She has ten items",🔟
"He scores a ten",🔟
"The digit is ten",🔟
