input,output
🚗 ⛰️ 🌲 🏞️,The family drove to the mountains for a trip
🚗 ⛰️ 🌲 🏞️,We took the car to see the nature scenery
🍳 🍞 🥛 😋,He made breakfast with eggs and toast
🍳 🍞 🥛 😋,She ate a delicious meal of bread and milk
🌧️ 🧥 👞 🏠,It is raining so put on your coat and shoes
🌧️ 🧥 👞 🏠,He wore boots and a jacket to walk home in the rain
🏫 📖 🗒️ 🤓,The student studied the notes at school
🏫 📖 🗒️ 🤓,He read the book and wrote in his notepad
🎵 🎷 🥁 💃,She danced while the band played jazz
🎵 🎷 🥁 💃,They played music with drums and saxophones
✈️ ☁️ 🏙️ 🗺️,The plane flew over the city and clouds
✈️ ☁️ 🏙️ 🗺️,We traveled by air to explore the map
🏋️ 🥤 💪 🧼,He drank water after lifting weights at the gym
🏋️ 🥤 💪 🧼,She washed up after a strong workout
🏝️ 🌊 ⛵ ☀️,We sailed the boat on the sunny ocean
🏝️ 🌊 ⛵ ☀️,The island has beautiful water and sunshine
🤒 💊 🛌 😴,He took medicine and slept in bed
🤒 💊 🛌 😴,She was sick so she rested all day
🏬 👗 👠 💶,She bought a dress and shoes at the store
🏬 👗 👠 💶,He spent money on clothes at the mall
🏡 🌷 🌼 🌳,The garden has pretty flowers and trees
🏡 🌷 🌼 🌳,They planted tulips and daisies at their house
🎞️ 🥤 🥨 😮,We watched a movie and had snacks
🎞️ 🥤 🥨 😮,The film was shocking and the soda was cold
🥎 🧢 🏃 😅,She played softball and ran fast
🥎 🧢 🏃 😅,He wore a cap and sweated during the game
🎨 🍎 🍐 🧐,The artist painted the fruit bowl
🎨 🍎 🍐 🧐,He looked closely at the apple and pear drawing
👶 🥛 🛌 💤,The baby drank milk and went to sleep
👶 🥛 🛌 💤,She put the child to bed with a bottle
🤵 👰 💍 ❤️,The groom gave the bride a ring
🤵 👰 💍 ❤️,They got married and love each other
🤠 🐴 🏜️ ☀️,The cowboy rode his horse in the desert
🤠 🐴 🏜️ ☀️,It was hot and sunny for the rider
🥶 🌨️ 🧣 🧤,It is freezing so wear a scarf and gloves
🥶 🌨️ 🧣 🧤,The snow is cold and we need winter gear
🥊 😠 🤕 🔔,The boxer was angry and got hurt
🥊 😠 🤕 🔔,The bell rang after the fight ended
👨 🚣 🌊 🐟,The man fished in the ocean from his boat
👨 🚣 🌊 🐟,He rowed out to sea to catch fish
🧛 🦇 🕸️ 😱,The vampire scared us in the dark web
🧛 🦇 🕸️ 😱,A bat flew by and we screamed in fear
🦁 🦒 🦓 👀,We saw a lion and zebra at the safari
🦁 🦒 🦓 👀,She looked at the tall giraffe and wild animals
👶 🧼 🧴 😆,The baby laughed during the bath
👶 🧼 🧴 😆,She used soap and lotion on the child
🗺️ ⛵ 🦜 ⚔️,The pirate sailed to find the fight
