input,output
"She dances to the music",🎵 💃
"I hear a song and dance",🎵 💃
"They move to the rhythm",🎵 💃
"She loves red wine",❤️ 🍷
"I like to drink wine",❤️ 🍷
"He loves a glass of wine",❤️ 🍷
"The swan is on the water",🦢 🌊
"A beautiful swan swims",🦢 🌊
"The white swan is in the lake",🦢 🌊
"The music makes me happy",😄 🎵
"I smile when I hear songs",😄 🎵
"She is happy listening to music",😄 🎵
"The shoe is on the foot",👞 🦶
"He wears a shoe on his foot",👞 🦶
"My foot fits in the shoe",👞 🦶
"The peach tastes delicious",🍑 😋
"I eat a yummy peach",🍑 😋
"She likes the tasty peach",🍑 😋
"The shark swims in the water",🦈 🌊
"A big shark is in the ocean",🦈 🌊
"Look at the shark in the sea",🦈 🌊
"He cleans the house",🧹 🏠
"She uses a broom in the house",🧹 🏠
"They sweep the dirty house",🧹 🏠
"I cook an egg",🍳 🥚
"She fries an egg in the pan",🍳 🥚
"Breakfast is a cooked egg",🍳 🥚
"The old man is hurt",🧓 🤕
"My grandfather has an injury",🧓 🤕
"The elderly man feels pain",🧓 🤕
"A cricket is in the grass",🦗 🌿
"The bug jumps in the green grass",🦗 🌿
"I see a cricket on a leaf",🦗 🌿
"He drinks beer with a pretzel",🍺 🥨
"She eats a pretzel with beer",🍺 🥨
"The bar serves beer and pretzels",🍺 🥨
"The cowboy rides a horse",🤠 🐴
"He is a cowboy on his horse",🤠 🐴
"A man in a hat rides a horse",🤠 🐴
"The mosquito is on the flower",🦟 🌼
"A bug sits on the yellow flower",🦟 🌼
"There is a mosquito on the bloom",🦟 🌼
"The salt is in the pan",🧂 🍳
"She adds salt to the cooking",🧂 🍳
"He puts salt in the pan",🧂 🍳
"It rains on the coat",🌧️ 🧥
"I wear a coat in the rain",🌧️ 🧥
"She needs a coat for the rain",🌧️ 🧥
"The baby drinks milk",👶 🥛
"A small baby wants milk",👶 🥛
"She feeds milk to the baby",👶 🥛
"The sandwich looks delicious",🥪 🤤
"I want that yummy sandwich",🥪 🤤
"He drools over the sandwich",🥪 🤤
"The plane flies in the clouds",✈️ ☁️
"I see a plane near a cloud",✈️ ☁️
"The jet is above the clouds",✈️ ☁️
"My tooth hurts",🦷 🤕
"He has a painful tooth",🦷 🤕
"Her tooth is injured",🦷 🤕
"He climbs the mountain",🧗 ⛰️
"She is climbing a high mountain",🧗 ⛰️
"They go up the rocky mountain",🧗 ⛰️
"He sneezes because he is sick",🤧 🤒
"She has a cold and a fever",🤧 🤒
"I am sick and sneezing",🤧 🤒
"He sleeps in the bed",😴 🛌
"She is tired in her bed",😴 🛌
"Go to sleep in the bed",😴 🛌
"It is cold so I wear a scarf",🥶 🧣
"She wears a scarf in the cold",🥶 🧣
"He feels freezing without a scarf",🥶 🧣
"The lion sees a zebra",🦁 🦓
"A wild lion hunts the zebra",🦁 🦓
"The zebra runs from the lion",🦁 🦓
"The owl looks at the moon",🦉 🌙
"A bird sits under the moon",🦉 🌙
"The owl is awake at night",🦉 🌙
"He is sick and needs a pill",😷 💊
"The doctor gives a pill to the sick",😷 💊
"She takes medicine because she is ill",😷 💊
"The fire truck fights the fire",🚒 🔥
"A red truck goes to the fire",🚒 🔥
"Firemen use the truck for the fire",🚒 🔥
"The bride wears a ring",💍 👰
"She is a bride with a gold ring",💍 👰
"He gives a ring to the bride",💍 👰
"I use soap and lotion",🧼 🧴
"She washes with soap and lotion",🧼 🧴
"Clean with soap then use lotion",🧼 🧴
"The book is for school",📕 🏫
"I read a book at school",📕 🏫
"She takes her book to class",📕 🏫
"The corn is in the soup",🌽 🥣
"She makes soup with corn",🌽 🥣
"I eat hot corn soup",🌽 🥣
"The fish is in the food",🐟 🥘
"We eat fish for dinner",🐟 🥘
"She cooks a fish meal",🐟 🥘
"He plays sax and drums",🎷 🥁
"The band has a sax and a drum",🎷 🥁
"Listen to the saxophone and drums",🎷 🥁
"She paints with her hand",🎨 🤚
"The art is made by hand",🎨 🤚
"I put paint on my hand",🎨 🤚
"The ball hits the goal",🥎 🥅
"He throws the ball into the net",🥎 🥅
"She scores a goal with the ball",🥎 🥅
"The taco has cheese",🌮 🧀
"I eat a taco with cheese",🌮 🧀
"She likes cheese on her taco",🌮 🧀
"The desert has a hot sun",🏜️ ☀️
"It is sunny in the desert",🏜️ ☀️
"The sun shines on the sand",🏜️ ☀️
"The rocket goes to the moon",🚀 🌘
"I see a rocket near the moon",🚀 🌘
"Space travel to the dark moon",🚀 🌘
"The dress matches the shoes",👗 👠
"She wears a dress and heels",👗 👠
"The red shoe goes with the dress",👗 👠
"The vampire turns into a bat",🦇 🧛
"A bat flies near the vampire",🦇 🧛
"He is a spooky vampire with a bat",🦇 🧛
"The gift is under the tree",🎁 🌲
"I put a present by the pine tree",🎁 🌲
"She finds a gift near the tree",🎁 🌲
"He takes a selfie in the park",🤳 🏞️
"She uses her phone at the park",🤳 🏞️
"We take a photo in nature",🤳 🏞️
"He runs in his shoes",🏃 👞
"The runner wears shoes",🏃 👞
"I run fast with my shoes",🏃 👞
"The lips have a kiss",👄 💋
"She gives a kiss with her lips",👄 💋
"A red lip mark is a kiss",👄 💋
"The key unlocks the lock",🗝️ 🔓
"Use the key to open the lock",🗝️ 🔓
"The lock is open with a key",🗝️ 🔓
"The ghost is in the house",👻 🏡
"A scary ghost haunts the home",👻 🏡
"The house has a white ghost",👻 🏡
"Pin the paper",🧷 📄
"She uses a safety pin on paper",🧷 📄
"Hold the paper with a pin",🧷 📄
"The nose smells a flower",👃 🌼
"She sniffs the flower",👃 🌼
"My nose likes the flower scent",👃 🌼
"The worm is in the apple",🐛 🍎
"I see a bug in the red fruit",🐛 🍎
"An apple with a worm inside",🐛 🍎
"The prince has a sword",🤴 ⚔️
"A royal man holds a sword",🤴 ⚔️
