idx,emoji_input,reference,pred_greedy,pred_beam
0,🦘 🦮 🦖 🦋 🦈,The kangaroo dog and dinosaur watched the butterfly and shark,The sailor sat in the sun,The man sat on the couch
1,🦈 🥐 🕸️ 🦘 🐏,A ram and kangaroo saw a shark eating a croissant near the web,The sailor sat in the sun,The man sat on the couch
2,🐻 🧊 🧣 🧤 🧥,In the ice and cold the bear needed a scarf and coat,The sailor sat in the sun,The man sat on the couch
3,🧻 🧼 🧽 🧴 🌊,She washed with soap and water using a sponge and tissue,The sailor sat in the sun,The man sat on the couch
4,🐻 🦊 🐗 🌲 🌳,The bear fox and boar live among the pine and deciduous trees,The sailor sat in the sun,The man sat on the couch
5,🥟 🥦 🥕 🍖 🥄,She used a spoon to eat the dumpling meat broccoli and carrot,The sailor sat in the sun,The man sat on the couch
6,🚒 🥡 🤥 💯 ✴️,The fire truck brought a hundred boxes of food and stars,The sailor sat in the sun,The man sat on the couch
7,🌾 🥙 🥦 🍐 🍖,The meal included rice meat broccoli and a pear,The sailor sat in the sun,The man sat on the couch
8,🐮 🐷 🐴 🐏 🏡,We saw a cow pig horse and ram living on the farm,The sailor sat in the sun,The man sat on the couch
9,🍜 🥐 🕊️ 🦉 🦈,A shark ate a croissant and noodles while birds watched,The sailor sat in the sun,The man sat on the couch
10,🦅 🦉 🕊️ 🦜 🦢,The eagle owl dove parrot and swan are all birds,The sailor sat in the sun,The man sat on the couch
11,📕 🦷 🌍 1️⃣ 🗝️,One tooth and a key were found on the map in the book,The sailor sat in the sun,He sat on the couch
12,🥡 🦩 🦉 🐟 🐃,We fed the flamingo owl and buffalo with fish from the box,The sailor sat in the sun,The man sat on the couch
13,🦙 🐐 🦋 🗃️ 🌹,The llama and goat found a rose and butterfly in the file box,The sailor sat in the sun,The man sat on the couch
14,🛢️ ⛰️ 🏄 📻 🏡,The house near the mountain had an oil drum and radio for the surfer,The sailor sat in the sun,The man sat on the couch
15,🦽 🗯️ 🦜 👏 🧘,He sat in the wheelchair and clapped while the parrot meditated,The sailor sat in the sun,The man sat on the couch
16,🧅 🧞 🧻 👚 👈,She pointed left to the genie holding paper onions and a shirt,The sailor sat in the sun,The man sat on the couch
17,🏫 📖 🎓 🏢 🤓,The student read a book at school and graduated with glasses,The sailor sat in the sun,The man sat on the couch
18,🥯 😶 🌗 💼 🥎,The silent worker carried a briefcase bagel and softball,The sailor sat in the sun,The man sat on the couch
19,🥗 💱 🚉 🍗 🧷,He used a safety pin to hold the money for the chicken salad,The sailor sat in the sun,The man sat on the couch
20,🥩 🍐 🧀 🌾 🏢,He brought a lunch of steak cheese and pear to the building,The sailor sat in the sun,The man sat on the couch
21,🥚 🧀 🍞 🥛 😋,He ate a delicious meal of eggs cheese and toast with milk,The sailor sat in the sun,The man sat on the couch
22,🍜 🥐 🕊️ 🦉 🦈,The owl and dove watched the shark eat noodles and a croissant,The sailor sat in the sun,The man sat on the couch
23,🥟 🥦 🥕 🍖 🥄,The stew contained carrots broccoli dumplings and meat,The sailor sat in the sun,The man sat on the couch
24,🏜️ 🌞 💋 0️⃣ 🖕,The sun shone on the desert kiss and the zero finger sign,The snazzy sat in the sun,He sat in the sun and ate a meal
25,🥪 🌾 🥥 🌮 🥜,He prepared a meal of peanuts coconut rice bread and tacos,The sailor sat in the sun,The man sat on the couch
26,🍷 🍎 🧂 🍲 🥫,The cook used wine salt and an apple in the canned soup,The sailor sat in the sun,The man sat on the couch
27,🚟 🚚 🧥 🔬 💔,The scientist with a broken heart left his coat in the truck,The sailor sat in the sun,The man sat on the couch
28,🔧 🔩 🧲 🔗 🧷,The tools included a wrench bolt magnet link and pin,The sailor sat in the sun,The man sat on the couch
29,🍚 🍜 🥟 🥢 🥡,The dinner was rice noodles and dumplings served with chopsticks,The sailor sat in the sun,The man sat on the couch
30,🧲 🤞 🤏 🐂 🚗,The driver used a small magnet to fix the ox cart and car,The sailor sat in the sun,The man sat on the couch
31,🥘 🥥 🌮 🥖 🥛,She cooked a taco and bread in the pan with coconut milk,The sailor sat in the sun,The man sat on the couch
32,💩 🤏 🤮 ⚔️ 😵,The smell of poop made him vomit and feel dizzy in the fight,The sailor sat in the sun,The man sat on the couch
33,🦖 🦕 🦎 🌿 🍖,The dinosaur and lizard ate plants and meat in the wild,The sailor sat in the sun,The man sat on the couch
34,🦎 🌿 🦢 🥡 🐂,A swan and ox found herbs and a box for the lizard,The sailor sat in the sun,The man sat on the couch
35,🚣 🧐 🦬 🐮 🧝,A magical elf saw the bison cow and rower wearing a monocle,The sailor sat in the sun,The man sat on the couch
36,🌾 🥚 🧁 🥔 🍋,The recipe needs rice eggs potatoes lemon and a cupcake,The sailor sat in the sun,The man sat on the couch
37,🦘 🦮 🦖 🦋 🦈,A dog chased the kangaroo and dinosaur while a shark and butterfly watched,The sailor sat in the sun,The man sat on the couch
38,🦈 🦖 🦘 🐀 🦇,A kangaroo rat and bat ran from the shark and ancient lizard,The sailor sat in the sun,The man sat on the couch
39,💍 👜 🧣 🧤 👒,She wore a ring and carried a bag scarf gloves and hat,The sailor sat in the sun,The man sat on the couch
40,🌾 🥚 🧁 🥔 🍋,She baked a cupcake and cooked eggs potatoes and rice with lemon,The sailor sat in the sun,The man sat on the couch
41,📙 🍴 🥛 🥜 🔩,He read the book while eating peanuts with milk and a fork,The sailor sat in the sun,The man sat on the couch
42,💿 🎲 🥍 6️⃣ ✡️,He played lacrosse and rolled a six with the star and cd,The sailor sat in the sun,He sat in the sun and ate a meal
43,4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣,He counted the items four five six seven and eight,The sailor is a scavenge,I have a baby and a little girl
44,🤽 💃 🕳️ 🔗 🔵,The dancer and water polo player found a hole linked to the blue circle,The sailor sat in the sun,The man sat on the couch
45,🦇 🐃 🥊 🐟 🐛,The bat and water buffalo saw a fish and a bug near the boxing glove,The sailor sat in the sun,The man sat on the couch
46,💤 🥗 📍 💍 🌃,He pinned the location of the ring and salad before sleeping,The sailor sat in the sun,The man sat on the couch
47,🥯 😶 🌗 💼 🥎,He ate a bagel and held his case under the half moon,The sailor sat in the sun,The man sat on the couch
48,😬 🥯 🙃 🍾 👉,He made a grimace while pointing at the bagel and champagne,The sailor sat in the sun,The man sat on the couch
49,🏦 💵 💸 🏧 💲,He withdrew cash and dollars from the bank machine,The sailor sat in the sun,The man sat on the couch
50,🥗 🥕 🥒 🥦 🥛,She prepared a healthy salad with carrots cucumber and broccoli,The sailor sat in the sun,The man sat on the couch
51,🤽 💃 🕳️ 🔗 🔵,She danced near the blue circle and the linked hole in the water,The sailor sat in the sun,The man sat on the couch
52,🦋 🐛 🐜 🦟 🦗,The garden was full of butterflies bugs ants mosquitoes and crickets,The sailor sat in the sun,The man sat on the couch
53,🦘 🥡 🧰 ✖️ 🦇,A bat and kangaroo marked the toolbox and food with a cross,The sailor sat in the sun,The man sat on the couch
54,🐂 🌹 🦖 🦩 🐗,A flamingo and dinosaur stood by the ox boar and red flower,The sailor sat in the sun,The man sat on the couch
55,🥝 🍐 🥨 🍲 🧀,She dipped the pretzel in cheese soup and ate the fruit,The sailor sat in the sun,The man sat on the couch
56,🍳 📕 🐷 🐶 🥁,She cooked with a pan while the animals played music and read,The sailor sat in the sun,The man sat on the couch
57,🦔 🐣 🍺 🌷 🎞️,A hedgehog and a small bird sat by the flower beer and movie film,The sailor sat in the sun,The man sat on the couch
